x,Tmat
-1.0311004784688995, 0.9948735475051267
-0.9880382775119618, 0.9941045796308954
-0.944976076555024, 0.9933356117566645
-0.9019138755980861, 0.9925666438824337
-0.8588516746411484, 0.9917976760082023
-0.8157894736842106, 0.9999572795625431
-0.7751196172248804, 0.9992310321257691
-0.729665071770335, 1.007347915242652
-0.6889952153110048, 1.0244788106630214
-0.6483253588516747, 1.0416097060833902
-0.6028708133971292, 1.0586551606288448
-0.562200956937799, 1.0847146274777852
-0.5191387559808613, 1.1464456596035544
-0.4832535885167466, 1.208304853041695
-0.4449760765550239, 1.2879784688995213
-0.4114832535885169, 1.3855946684894054
-0.3827751196172249, 1.501153451811347
-0.3564593301435406, 1.6256835269993162
-0.33253588516746424, 1.7591848940533152
-0.3110047846889952, 1.9016575529733424
-0.28947368421052655, 2.035201640464799
-0.27272727272727293, 2.17775974025974
-0.25119617224880386, 2.3202323991797678
-0.22966507177033502, 2.462705058099795
-0.2105263157894739, 2.5962918660287087
-0.1866028708133971, 2.7387218045112784
-0.16267942583732076, 2.872223171565277
-0.13636363636363646, 2.996753246753247
-0.1124401913875599, 3.112397470950103
-0.08133971291866038, 3.2368421052631584
-0.05023923444976064, 3.343429596719071
-0.019138755980861344, 3.458945659603555
-0.004784688995215225, 3.5122607655502396
-2.220446049250313e-16, 4.208603896103897
0.0167464114832534, 4.092233424470267
0.028708133971291794, 3.9402341079972665
0.047846889952152916, 3.788106630211894
0.08133971291866016, 3.6892942583732062
0.11961722488038262, 3.643967874231033
0.1626794258373203, 3.63427033492823
0.20574162679425845, 3.624572795625428
