x,Trad
-1.2464114832535884, 1.0076469583048535
-1.1626794258373205, 0.9972231715652771
-1.076555023923445, 1.0046138072453865
-1.0095693779904307, 1.0123462064251538
-0.9258373205741627, 1.0287081339712922
-0.8421052631578948, 1.0450700615174298
-0.7559808612440192, 1.0971035543403964
-0.6746411483253589, 1.193865345181135
-0.5980861244019139, 1.3264268626110733
-0.5263157894736843, 1.494788106630212
-0.46172248803827753, 1.6989917976760087
-0.3947368421052633, 1.9210099111414904
-0.3444976076555024, 2.1522556390977443
-0.2870813397129188, 2.4101589200273414
-0.23444976076555024, 2.659219070403281
-0.17703349282296665, 2.9081937799043063
-0.12200956937799057, 3.130425495557075
-0.05741626794258381, 3.361414900888586
0.0071770334928229484, 3.556690020505811
0.02392344497607657, 3.5921052631578956
0.04306220095693769, 3.6185492139439512
0.0885167464114831, 3.626666097060834
0.1722488038277512, 3.62517088174983
0.24162679425837297, 3.6239319890635686
